"table_name","column_name","data_type"
"audit_log","id","integer"
"audit_log","entity_name","character varying"
"audit_log","entity_id","integer"
"audit_log","operation_type","audit_log_operation_type_enum"
"audit_log","old_data","jsonb"
"audit_log","new_data","jsonb"
"audit_log","operation_by","integer"
"audit_log","operation_at","timestamp without time zone"
"cleaned_copernicus_data","id","integer"
"cleaned_copernicus_data","raw_valid_time","timestamp without time zone"
"cleaned_copernicus_data","raw_latitude","double precision"
"cleaned_copernicus_data","raw_longitude","double precision"
"cleaned_copernicus_data","raw_d2m","double precision"
"cleaned_copernicus_data","raw_t2m","double precision"
"cleaned_copernicus_data","raw_tp","double precision"
"cleaned_copernicus_data","created_at","timestamp without time zone"
"configuration","id","integer"
"configuration","name","character varying"
"configuration","config","jsonb"
"copernicus_with_boundaries","id","integer"
"copernicus_with_boundaries","raw_valid_time","timestamp without time zone"
"copernicus_with_boundaries","raw_latitude","double precision"
"copernicus_with_boundaries","raw_longitude","double precision"
"copernicus_with_boundaries","raw_d2m","double precision"
"copernicus_with_boundaries","raw_t2m","double precision"
"copernicus_with_boundaries","raw_tp","double precision"
"copernicus_with_boundaries","created_at","timestamp without time zone"
"copernicus_with_boundaries","computed_geom","text"
"copernicus_with_boundaries","county","character varying"
"copernicus_with_boundaries","subcounty","character varying"
"copernicus_with_boundaries","ward","character varying"
"dk_kajiado_health_facility_list","s","integer"
"dk_kajiado_health_facility_list","facility_name","character varying"
"dk_kajiado_health_facility_list","County","character varying"
"dk_kajiado_health_facility_list","Subcounty","character varying"
"dk_kajiado_health_facility_list","Latitude","double precision"
"dk_kajiado_health_facility_list","Longitude","double precision"
"dk_kajiado_health_facility_list","Ward","character varying"
"dk_kajiado_health_facility_list","computed_geom","text"
"dk_kajiado_health_facility_list","computed_geojson","jsonb"
"dk_khis","uid_record","character varying"
"dk_khis","facility_name","character varying"
"dk_khis","orgUnit","character varying"
"dk_khis","orgUnit_level","integer"
"dk_khis","dataElement_name","character varying"
"dk_khis","dataElement_code","character varying"
"dk_khis","dataElement","character varying"
"dk_khis","dx_type","character varying"
"dk_khis","period","character varying"
"dk_khis","value","integer"
"dk_khis","County","character varying"
"dk_khis","Subcounty","character varying"
"dk_khis","Ward","character varying"
"dk_khis","Latitude","double precision"
"dk_khis","Longitude","double precision"
"dk_khis","computed_geom","text"
"dk_khis","computed_geojson","jsonb"
"dk_prompts","id","uuid"
"dk_prompts","facility_name","character varying"
"dk_prompts","date_time_opened","timestamp without time zone"
"dk_prompts","Intent","character varying"
"dk_prompts","Intent_Count","integer"
"dk_prompts","County","character varying"
"dk_prompts","Subcounty","character varying"
"dk_prompts","Latitude","double precision"
"dk_prompts","Longitude","double precision"
"dk_prompts","Ward","character varying"
"dk_prompts","computed_geom","text"
"dk_prompts","computed_geojson","jsonb"
"era5_tpd_month","id","integer"
"era5_tpd_month","year","integer"
"era5_tpd_month","month","integer"
"era5_tpd_month","raw_latitude","double precision"
"era5_tpd_month","raw_longitude","double precision"
"era5_tpd_month","median_max_t2m","double precision"
"era5_tpd_month","median_max_tp","double precision"
"era5_tpd_month","median_max_d2m","double precision"
"era5_tpd_month","computed_geom","text"
"era5_tpd_month","county","character varying"
"era5_tpd_month","subcounty","character varying"
"era5_tpd_month","ward","character varying"
"kajiado_ward_geometry","ward","character varying"
"kajiado_ward_geometry","county","character varying"
"kajiado_ward_geometry","subcounty","character varying"
"kajiado_ward_geometry","geometry","text"
"kajiado_ward_geometry","computed_geojson","jsonb"
"password","id","uuid"
"password","password","character varying"
"password","created_at","timestamp without time zone"
"password","updated_at","timestamp without time zone"
"permission","id","uuid"
"permission","name","character varying"
"permission","description","character varying"
"permission","created_at","timestamp without time zone"
"permission","updated_at","timestamp without time zone"
"permission","deleted_at","timestamp without time zone"
"refresh_token","id","uuid"
"refresh_token","refresh_token","character varying"
"refresh_token","issued_at","timestamp without time zone"
"refresh_token","expires_at","timestamp without time zone"
"refresh_token","created_at","timestamp without time zone"
"refresh_token","updated_at","timestamp without time zone"
"refresh_token","deleted_at","timestamp without time zone"
"role","id","uuid"
"role","name","character varying"
"role","created_at","timestamp without time zone"
"role","updated_at","timestamp without time zone"
"role","deleted_at","timestamp without time zone"
"role_permission","id","uuid"
"role_permission","created_at","timestamp without time zone"
"role_permission","updated_at","timestamp without time zone"
"role_permission","deleted_at","timestamp without time zone"
"role_permission","roleId","uuid"
"role_permission","permissionId","uuid"
"session","id","uuid"
"session","session_id","character varying"
"session","session_initiated_at","timestamp without time zone"
"session","session_logout_at","timestamp without time zone"
"session","expires_at","timestamp without time zone"
"session","created_at","timestamp without time zone"
"session","updated_at","timestamp without time zone"
"session","deleted_at","timestamp without time zone"
"session","refresh_token_id","uuid"
"user","id","uuid"
"user","isArchived","boolean"
"user","created_at","timestamp without time zone"
"user","updated_at","timestamp without time zone"
"user","deleted_at","timestamp without time zone"
"user","user_info_id","uuid"
"user","password_id","uuid"
"user_activity_log","id","uuid"
"user_activity_log","endpoint","character varying"
"user_activity_log","method","character varying"
"user_activity_log","request_body","text"
"user_activity_log","response_status","text"
"user_activity_log","user_agent","text"
"user_activity_log","created_at","timestamp without time zone"
"user_activity_log","updated_at","timestamp without time zone"
"user_activity_log","deleted_at","timestamp without time zone"
"user_activity_log","user_id","uuid"
"user_activity_log","session_id","uuid"
"user_info","id","uuid"
"user_info","name","character varying"
"user_info","email","character varying"
"user_info","phone","character varying"
"user_info","profilePicId","character varying"
"user_info","roleIds","text"
"user_info","created_at","timestamp without time zone"
"user_info","updated_at","timestamp without time zone"
"user_info","deleted_at","timestamp without time zone"
"user_invite","id","uuid"
"user_invite","invite_token_hash","character varying"
"user_invite","invitedAt","timestamp without time zone"
"user_invite","invitedBy","character varying"
"user_invite","inviteExpiry","timestamp without time zone"
"user_invite","isAccepted","boolean"
"user_invite","acceptedAt","timestamp without time zone"
"user_invite","isAccountSetUp","boolean"
"user_invite","created_at","timestamp without time zone"
"user_invite","updated_at","timestamp without time zone"
"user_invite","deleted_at","timestamp without time zone"
"user_invite","user_info_id","uuid"
"user_request","id","uuid"
"user_request","request_token_hash","character varying"
"user_request","request_token_expiry","timestamp without time zone"
"user_request","requestedAt","timestamp without time zone"
"user_request","processedBy","character varying"
"user_request","processedAt","timestamp without time zone"
"user_request","status","character varying"
"user_request","isAccountSetUp","boolean"
"user_request","created_at","timestamp without time zone"
"user_request","updated_at","timestamp without time zone"
"user_request","deleted_at","timestamp without time zone"
"user_request","user_info_id","uuid"
"user_role","id","uuid"
"user_role","created_at","timestamp without time zone"
"user_role","updated_at","timestamp without time zone"
"user_role","deleted_at","timestamp without time zone"
"user_role","userId","uuid"
"user_role","roleId","uuid"
"user_session","id","uuid"
"user_session","created_at","timestamp without time zone"
"user_session","updated_at","timestamp without time zone"
"user_session","deleted_at","timestamp without time zone"
"user_session","user_id","uuid"
"user_session","session_id","uuid"
"user_session","refresh_token_id","uuid"
